"","lenguaje_punt","matematicas_punt","ciencias_sociales_punt","quimica_punt","fisica_punt","ingles_punt","idj","inst_pertenece_evaluado","estu_grupo_referencia","mod_comunica_escrita_punt","mod_ingles_punt","mod_lectura_critica","mod_razona_cuantitativo_punt","mod_comp_ciudadanas_punt","inse","d.gender_F","d.tuition_3","d.tuition_5","d.tuition_4","d.titulo_A","n"
"3794",52.45,75.7,51.89,54.01,56.61,85.62,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.1,13.3,11.5,11.9,12,65.21764668,0,0,1,0,1,101
"5305",65.67,48.4,66.39,47.6,46.37,65.79,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.5,12.3,11.2,11.7,10.8,52.552865215,1,1,0,0,1,101
"6762",57.14,55.8,61.72,52.46,58.68,74.16,1101,"U. NACIONAL DE COL.","Agricultural Sciences",9.9,11.5,11.2,11.7,11,45.994853805,1,0,0,0,1,101
"7165",68.26,58.15,55.59,57.31,51.55,60.2,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.9,10,10.8,12.8,9,62.476043297,1,0,0,0,1,101
"7228",59.11,58.15,61.72,45.87,58.68,49.6,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10,11.9,10.8,11.8,10.2,51.828548808,1,0,0,0,1,101
"7692",49.43,55.8,57.56,55.66,40.3,65.79,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.1,10.6,10.6,12.2,10.4,39.557369748,1,0,0,0,0,101
"10946",59.11,60.48,66.39,55.66,58.68,62.81,1101,"U. NACIONAL DE COL.","Agricultural Sciences",8.7,11.1,12.9,11,10.8,65.904792461,1,1,0,0,1,101
"11728",71.24,80.14,69.03,59.03,68.47,81.77,1101,"U. NACIONAL DE COL.","Agricultural Sciences",9.8,13.9,11.5,12,12.1,68.507311726,1,0,1,0,1,101
"13534",65.67,60.48,57.56,62.83,68.47,65.79,1101,"U. NACIONAL DE COL.","Agricultural Sciences",9.7,12.3,10.4,11.3,9.5,57.858048484,1,0,0,0,1,101
"18617",51.38,48.4,55.59,54.05,58.68,51.56,1101,"U. NACIONAL DE COL.","Agricultural Sciences",9.3,10.8,10.6,11.2,10.9,53.949805708,1,0,0,0,1,101
"20402",61.16,53.42,55.59,57.31,49.04,51.56,1101,"U. NACIONAL DE COL.","Agricultural Sciences",9.1,11.2,10.8,11.3,10.5,43.755885885,1,0,0,0,1,101
"20958",71.24,76.47,79.68,60.85,63.43,74.16,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.6,15,10.8,12.3,11,62.330981842,1,0,0,0,1,101
"21310",57.14,50.97,63.97,59.03,40.3,57.84,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.8,11.4,11.9,10.5,13.8,35.227910138,1,0,0,0,1,101
"21566",59.11,58.15,55.59,60.85,63.43,55.64,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.9,11.6,11,11.8,11,45.780358758,1,0,0,0,1,101
"25241",47.41,42.69,46.05,47.6,46.37,62.81,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.5,10.9,10.4,10.8,10.4,54.858973499,1,0,0,0,1,101
"26004",61.16,62.84,63.97,62.83,68.47,69.4,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.9,14.4,11.2,12.5,11.7,58.508803403,1,1,0,0,1,101
"26174",63.33,58.15,75.45,67.58,49.04,65.79,1101,"U. NACIONAL DE COL.","Agricultural Sciences",8.6,12.3,10.4,11.8,11,47.144464583,1,0,0,0,1,101
"27013",57.14,48.4,49.87,50.87,46.37,57.84,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.8,11.4,10.2,9.9,10.4,43.184383253,1,0,0,0,1,101
"28594",55.21,53.42,55.59,39.81,49.04,43.74,1101,"U. NACIONAL DE COL.","Agricultural Sciences",12.3,9.5,10.4,10.8,11.1,49.640294034,0,1,0,0,1,101
"29537",63.33,55.8,53.67,49.26,49.04,47.66,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.2,11.1,12.4,10.8,11,44.513873591,0,0,0,0,1,101
"29592",63.33,60.48,57.56,59.03,61.03,53.56,1101,"U. NACIONAL DE COL.","Agricultural Sciences",12.5,11,11.3,11,10.8,44.130684695,0,0,0,0,1,101
"29814",61.16,65.25,57.56,45.87,53.97,60.2,1101,"U. NACIONAL DE COL.","Agricultural Sciences",8.4,13.3,11.6,11.8,12,46.302676096,0,0,0,0,1,101
"30438",65.67,62.84,61.72,49.26,51.55,65.79,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.7,11.9,11.8,12.2,12.7,63.426220458,0,0,0,0,1,101
"30962",59.11,65.25,69.03,67.58,56.34,55.64,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.7,11.7,12.1,12.6,11,45.776694006,0,0,0,0,1,101
"30966",59.11,45.66,51.76,45.87,53.97,47.66,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.6,10.2,10.6,11,11.3,37.77349606,0,0,0,0,1,101
"31203",53.3,50.97,47.97,47.6,46.37,47.66,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.9,10.2,11.5,10.8,12,53.370565683,0,0,0,0,0,101
"31821",59.11,60.48,61.72,55.66,56.34,69.4,1101,"U. NACIONAL DE COL.","Agricultural Sciences",12.4,14.4,11.1,12.7,12.7,57.494262011,0,0,0,0,1,101
"31869",59.11,50.97,51.76,49.26,58.68,55.64,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.1,11.8,9.6,10.3,9.8,58.009833387,0,1,0,0,1,101
"31899",63.33,53.42,57.56,52.46,61.03,51.56,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11,10.9,11,11.3,10.8,46.044351631,0,0,0,0,0,101
"32847",49.43,60.48,55.59,50.87,51.55,51.56,1101,"U. NACIONAL DE COL.","Agricultural Sciences",12.2,10.2,10.4,11.2,11.6,58.678652124,0,0,0,0,1,101
"34428",61.16,50.97,61.72,55.66,49.04,51.56,1101,"U. NACIONAL DE COL.","Agricultural Sciences",9.3,11.6,11.5,11.8,11.3,65.974463197,0,0,0,0,0,101
"34549",53.3,60.48,59.6,54.05,56.34,51.56,1101,"U. NACIONAL DE COL.","Agricultural Sciences",9.9,10.6,9.6,11.3,11.3,46.771196125,0,0,0,0,0,101
"34944",65.67,65.25,66.39,54.05,51.55,74.16,1101,"U. NACIONAL DE COL.","Agricultural Sciences",9.6,10.6,9.5,14.6,9.2,61.952764937,0,0,0,0,1,101
"36039",45.3,53.42,66.39,55.66,58.68,49.6,1101,"U. NACIONAL DE COL.","Agricultural Sciences",9.6,11.1,12.1,12.5,11.3,65.524090769,0,0,1,0,1,101
"36530",55.21,67.77,55.59,55.66,58.68,47.66,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11,11.5,10.6,11.7,10.6,63.702699523,0,1,0,0,1,101
"36933",49.43,35.55,51.76,49.26,51.55,45.71,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.1,10.8,9.3,10.5,10.5,57.976374945,0,0,0,0,1,101
"37208",55.21,60.48,59.6,59.03,63.43,45.71,1101,"U. NACIONAL DE COL.","Agricultural Sciences",11.5,11.4,10.6,12.3,11.3,50.556178344,0,0,0,0,1,101
"37955",61.16,58.15,55.59,60.85,58.68,69.4,1101,"U. NACIONAL DE COL.","Agricultural Sciences",10.4,11.7,11,12.2,11.3,65.734903512,0,1,0,0,1,101
